Winner,Move Count,Moves,Final Position
White,45,b3 h5 c4 Nf6 Nf3 Nd5 Ne5 f6 f3 g5 e4 Rh6 h4 Nb4 g4 Nd5 b4 gxh4 exd5 h3 Be2 a6 O-O Bg7 d6 c6 Qe1 Qc7 Kf2 Rh8 Ke3 Qb6+ Kd3 Qa7 Kc3 Rh6 Bb2 h2 Qh4 Rh7 Kd3 fxe5 Qg5 h1=Q Qxe7#,rnb1k3/qp1pQ1br/p1pP4/4p2p/1PP3P1/3K1P2/PB1PB3/RN3R1q b q - 0 23
White,243,c3 g6 b4 a6 Qb3 e6 a3 Qg5 Nf3 h6 Qa2 Ke7 g4 Qe3 dxe3 Kf6 Nfd2 Bd6 f3 b5 f4 Be5 Kf2 c6 Ke1 Bd6 Nf3 a5 g5+ hxg5 Nh4 Ke7 Qb2 Nh6 Kd2 Ra7 Bh3 Rd8 Bxe6 Na6 Bh3 Rg8 Ng2 axb4 fxg5 Bc7 Be6 dxe6 cxb4 Nb8 Qf6+ Kf8 Qxg6 Bf4 Ra2 Nd7 gxh6 Ra4 h3 Nc5 Kc2 Ra5 exf4 Ra7 Re1 Rh8 Kd2 Bb7 Rc2 Rxa3 bxc5 b4 Qe4 Ra1 Ne3 Kg8 Qh7+ Rxh7 h4 Ra3 Bxa3 Rxh6 Ng4 b3 Bb4 f5 Rd1 Rh5 Kc3 b2 Kb3 Kf8 Na3 Rxh4 Bc3 Bc8 Ka2 Rh1 Nb5 Rh5 Nh2 Rh6 Kxb2 Ke8 Bd2 Rh3 Na3 Rxa3 Nf1 Re3 Kc1 Rg3 Rb2 Rg4 Rb8 Kd7 Rb5 Ba6 Be1+ Ke8 Ba5 Kf7 Rb4 e5 Ng3 Rg7 Ra4 Rg4 Bc3 Rg5 Ba5 Kg7 Rd8 Bd3 Rb4 Kh6 Bc7 Rg6 Re8 Rd6 Rd8 Kg6 Rd4 Kh7 Nf1 Bc2 Kxc2 Rh6 Kd2 e4 Rd3 e3+ Kxe3 Rh3+ Kd4 Rh5 Be5 Rh4 Rd5 Rg4 Rc3 Rg7 Bd6 Rg2 Rxf5 Kg8 Rh5 Kg7 Ne3 Kf7 Ra3 Rg6 Nc4 Rg1 Rah3 Rg5 e4 Rf5 Rf3 Kg6 Bf8 Rf7 Rg3+ Kf6 Ne5 Rh7 Rg4 Rxh5 Rg7 Rh2 Kc4 Rh4 Rg2 Rh6 Re2 Rh8 Ng4+ Kf7 Rd2 Rh2 Ra2 Rh4 Ra6 Rxg4 Rxc6 Rh4 Rd6 Rh1 Rd1 Kg8 Rc1 Kh8 e5 Rh4 Rh1 Kg8 Rd1 Rh2 Rd5 Rh7 Kd4 Rd7 Kc4 Rb7 Bh6 Rb8 f5 Rb6 Rd7 Kh8 e6 Kg8 Rg7+ Kf8 Ra7+ Ke8 Bf8 Rd6 cxd6 Kxf8 Ra2 Ke8 Ra8#,R3k3/8/3PP3/5P2/2K5/8/8/8 b - - 3 122
White,139,Nc3 Nh6 b3 d5 h4 b5 Ba3 Bg4 Rc1 Nc6 e3 Qd6 g3 Rb8 Bb2 Qe5 a3 a5 Qe2 Nb4 a4 f5 d3 Bh3 Qh5+ Kd7 Qf7 Qf4 Kd1 Rb6 h5 Qe5 Qe8+ Kd6 Ba3 Bg2 Qg6+ Qe6 Bxg2 Rb8 axb5 Rd8 b6 Rb8 Nb1 Ng8 Nd2 hxg6 Rh2 Ra8 d4 Re8 Nh3 Rd8 Nb1 g5 Bh1 Nf6 g4 Qe5 c3 c6 Nxg5 Qf4 Rh3 Rh7 gxf5 Re8 Rh2 Qe4 cxb4 Ra8 bxa5+ Kd7 Nf7 Rxa5 Rxc6 Qh4 Re6 Qf4 Rh4 Qe4 Rg4 Qc2+ Kxc2 Ra7 Kc3 Nxg4 Kb2 Ra4 b7 Rh6 Bf3 Ne5 Rg6 Rxa3 e4 Ra8 Nd2 Nxf7 Bg2 Ra7 Bh1 e6 f4 Ra4 b4 Nh8 Nf3 Ra6 Rf6 Ra1 Rxh6 Rg1 f6 Bxb4 Ne5+ Kc7 Rh7 Bc3+ Ka2 Rb1 Nd3 Rb2+ Ka3 Bb4+ Nxb4 Kd8 b8=Q+ Kd7 f7 Rb3+ Ka2 Rb2+ Ka3 Rh2 Qb7+ Kd6 f8=B#,5B1n/1Q4pR/3kp3/3p3P/1N1PPP2/K7/7r/7B b - - 0 70
Black,154,a4 h5 Nc3 g5 Ne4 e5 c3 a6 Nf6+ Qxf6 Qc2 Qg7 g4 Ne7 Qf5 Rh7 Qxf7+ Kxf7 b4 c5 d3 Ra7 e3 e4 Kd1 Qh6 Bg2 Bg7 Ra3 Bh8 gxh5 exd3 h4 b6 Bf3 Ke6 Rh3 Qf6 Rb3 Nd5 Bh1 Rg7 e4 Ke5 Re3 Rg8 Rg3 Bg7 Bxg5 Qe6 Rh3 Nc6 Nf3+ Kxe4 Rb2 Bh8 Bg2 Bxc3 Bd8 Ncxb4 Nd2+ Kf4 Bxb6 Qxh3 Bf1 Bg7 Nb1 d2 Bb5 Ne3+ Ke2 Nf5 f3 Bb7 Nxd2 Bd5 Rb3 a5 Bxa7 Qg4 Bc4 Qxf3+ Rxf3+ Bxf3+ Kf2 Bh6 Nf1 Ra8 Ba6 Rf8 Ke1 Be2 Nh2 Rf6 Bb7 Na2 Be4 Bc4 Bb6 Be6 Ke2 Nxh4 Nf1 Ng6 Ne3 Bg8 Bb7 Kg5 Bd5 Rf1 Kd3 Rc1 Nf1 Kh4 Ne3 Rc4 Bxc5 Nf4+ Kd2 Bxd5 Kd1 Bf7 Kd2 Rxc5 Kd1 Rc6 Nc4 Kg5 Kc2 Bg7 h6 Ne2 Kb1 Kxh6 Ne3 Rf6 Nf5+ Kg5 Ka1 Kxf5 Kb2 Rh6+ Kb1 Rb6+ Kc2 Bh5 Kd1 Rb7 Kc2 Bc3 Kd1 Ke4 Kc2 Nd4#,8/1r1p4/8/p6b/P2nk3/2b5/n1K5/8 w - - 14 78
White,121,g4 c6 c4 b5 cxb5 Qa5 a3 Qb4 Qa4 Qd6 bxc6 Qe6 Nf3 Nxc6 d4 Qd5 Qa6 e5 Qc4 Ba6 g5 exd4 h3 Qe4 Qc5 Qc2 Rh2 d3 Qe3+ Be7 Nfd2 O-O-O Ra2 Bxa3 Rh1 Nf6 Nc3 Qb1 Qf4 Rdf8 Rxa3 Nh5 Qf3 Nf6 Qg3 Ng8 Qg1 Nge7 Kd1 Qc2+ Ke1 Qxd2+ Bxd2 Rfg8 e4 d6 Bf4 g6 Kd2 Na5 Na2 Kd8 h4 h5 Rh2 Nac6 Nb4 Nxb4 Kd1 Nbc6 Be5 Rh7 Bf6 Nd4 Bg7 Nb5 Rb3 Na3 Bh6 Nc8 Bxd3 Rgh8 f3 Nb5 Rxb5 Nb6 Qd4 Kc7 Be2 Nd7 b4 Nf6 gxf6 Ra8 Rb8 Kc6 Ke1 Bc4 Rxa8 Bxe2 Qxd6+ Kb5 Qc5+ Ka4 Rf2 a5 Ra6 Bb5 Rd6 Ka3 Rh2 Bc6 Kd2 Bd5 Rh3 Be6 Rb6 Ka4 Rb8 Bb3 Qxa5#,1R6/5p1r/5PpB/Q6p/kP2P2P/1b3P1R/3K4/8 b - - 0 61
Black,166,c3 b5 a4 Nh6 Na3 e6 Ra2 Ng4 c4 Nh6 d3 Bd6 e3 O-O Qe2 Nc6 Qf3 Qe7 h4 Qg5 Qf5 Qxf5 Be2 Nb4 Nf3 c5 Kf1 Qg4 Kg1 Bf4 Bd1 Qg3 Bd2 a5 Bc3 Ra7 e4 Qg4 Nb1 d6 g3 e5 Be2 Na6 Na3 Bc1 Ne1 Bg5 Ng2 Bd8 Nb1 Be7 f4 Qg5 Bd4 Rb7 Ra3 Qxg3 f5 Qf2+ Kxf2 Rd7 Rf1 Bd8 Bg4 Nb4 Bc3 Nc6 Ne3 d5 Bf3 Na7 cxd5 g5 Nc4 Ng4+ Kg3 Be7 f6 Nh6 d6 bxa4 Kh2 Ng4+ Kg2 Ne3+ Kh2 Rb7 Bd2 Rb3 d7 Nc6 d4 gxh4 Bg4 Bxd7 Rf2 Ra8 Bf5 Rxa3 Bh3 exd4 Bf5 Rb3 fxe7 Kh8 Bg6 Nxc4 Re2 N6e5 Bc3 f5 e8=N dxc3 Ng7 Rxb2 Nxc3 hxg6 Nd5 Rg8 Nxf5 Nf3+ Kg2 gxf5+ Kf1 Rc2 Nc7 Nb6 Nd5 Ng1 Rf2 h3 Nb4 Rg7 exf5 Rg4 Rf3 c4 Nd5 h2 Ne3 Rg5 Rf4 Nd5 Rd4 Nb6 Nd1 h1=N Nb2 Na8 Rg4 Nc7 Rf4 Rxb2 Rf3 Bc6 Re3 Nh3 Rd3 Ne8 Re3 Rg6 Rf3 Be4 f6 Rg1#,4n2k/8/5P2/p7/p1p1b3/5R1n/1r6/5Krn w - - 1 84
White,51,a3 Nf6 Nc3 c6 Rb1 c5 e3 d6 h4 e6 Nb5 Ng4 Qe2 Qa5 Qd3 Nc6 Qd4 Kd8 Nc3 Nce5 Ba6 c4 Nh3 Nxe3 Na2 Nd3+ cxd3 bxa6 Qxg7 Qc7 Qh6 e5 Nb4 cxd3 Qxf8+ Kd7 Qh6 e4 g4 Ke7 Ng1 Qc4 Nc6+ Ke8 b3 d5 f3 Nf5 Qf6 Nd4 Qe7#,r1b1k2r/p3Qp1p/p1N5/3p4/2qnp1PP/PP1p1P2/3P4/1RB1K1NR b K - 4 26
Black,62,c4 Nc6 h4 Nb8 Qa4 b6 Qa6 c5 a3 g5 Nc3 f5 d4 Bxa6 Nd5 f4 Nxf4 e6 a4 Qc7 Nxe6 Qd6 Be3 Qd5 Nf4 Qe6 b3 Bxc4 bxc4 Qc6 g4 Nh6 Nh5 Bd6 Rh3 Bg3 Nxg3 Qg6 a5 Qd3 Rb1 Qxb1+ Kd2 Kf8 f4 Nf5 Kc3 Qd1 fxg5 d6 Rh1 Qa1+ Kd2 Qb1 dxc5 Nxg3 Nf3 Kf7 Ne1 dxc5 Bh3 Ne4#,rn5r/p4k1p/1p6/P1p3P1/2P1n1PP/4B2B/3KP3/1q2N2R w - - 2 32
Black,172,b4 Nf6 d4 d5 f4 Be6 Bb2 Nbd7 e3 Nh5 g4 a5 a3 axb4 Ra2 Nb8 Qc1 Ng3 hxg3 Rxa3 e4 Rb3 Ra8 Rxb2 c4 Re2+ Kd1 Bd7 Bh3 Bb5 g5 e6 Bg4 c5 Qb2 Bxc4 Qd2 Qb6 Nh3 Qa5 Rh2 cxd4 Qe1 Rc2 Rd2 Rxd2+ Qxd2 Qxa8 g6 hxg6 Qc1 b5 Bf3 Qc6 Bh1 Rg8 Qe3 Qa8 Qc3 Qb7 Kd2 Qb6 Nf2 Qa6 Ng4 Nd7 Qa3 Bd6 Kd1 Bb8 Nd2 Qc6 Kc2 Bd6 Qb3 Qa8 Qe3 Be2 Bg2 Nb8 Qf2 e5 Nf6+ Kf8 Qe1 Qa6 Qa1 Qa3 Qxa3 d3+ Kb1 Nd7 Qxb4 gxf6 Kc1 dxe4 Qb2 g5 Nf3 exf4 Nd2 Nb6 Qxf6 Bc7 Qe6 Bf3 Nxf3 Rh8 Nd4 Nc8 Qxf7+ Kxf7 Kb2 Rh1 Bf1 Ba5 Nf3 Rh4 Ng1 Bb6 Bh3 Rh8 Bg2 Nd6 Ka1 Rh2 Bxe4 Kg8 Nh3 Bc5 Nxg5 Rc2 Nh7 Nf7 Ba8 Rc4 Kb1 Ng5 Nf6+ Kf8 g4 Bf2 Ne4 d2 Ka2 Rc5 Ka1 Bh4 Bb7 b4 Kb1 Rc4 Ka2 d1=N Ba8 b3+ Kb1 Be1 Nc3 Rxc3 Bh1 Ke7 Bd5 Kd6 Ka1 Bf2 Be6 Nf7 Bc8 Rc6 Bd7 Rc1#,8/3B1n2/3k4/8/5pP1/1p6/5b2/K1rn4 w - - 12 87
White,147,Nf3 Nh6 a3 d5 b4 e5 c4 Kd7 c5 Qf6 Rg1 Qb6 g4 g6 Bh3 Nf5 d3 g5 Bf1 e4 Nxg5 Bxc5 Bd2 Bd4 Nxe4 c5 Nbc3 Nh6 Bg5 f5 Bxh6 Ke8 Nd6+ Ke7 Bh3 Rg8 Rg2 Qb5 e4 Nc6 Bf8+ Kd7 Ne8 Rxg4 f4 Rg8 Rg4 Bg1 Qb3 Kd8 Nf6 Ne7 Ne2 Be3 Qc4 Qe8 Rg7 Bf2+ Kd2 Rxg7 bxc5 a5 Rh1 a4 Bf1 d4 Bh3 Rg6 Rg1 Rh6 Rc1 Bd7 Qb4 fxe4 c6 Be3+ Ke1 Rg6 Bg4 h6 Nc3 exd3 Nh7 Kc8 Qb2 Ra6 Rc2 d2+ Rxd2 d3 Bh3 Be6 Na2 Qd8 cxb7+ Kb8 Bg7 Rg1+ Bf1 Bg4 Qb4 Bxf4 Rf2 Nc6 Qe7 Rh1 Ba1 Rb6 Bh8 Qe8 h3 Qg6 Qd6+ Ka7 Qd4 Bc8 bxc8=N+ Kb8 Rb2 Qe4+ Kf2 Nb4 Nd6 Ra6 Qd5 Qe6 Qc5 Qe7 Nc1 Qd7 Qb6+ Qb7 Qxa6 Qa7+ Ke1 Qe7+ Be5 d2+ Kd1 h5 Bxf4 h4 Rxb4+ Kc7 Rd4 Qd8 Qb7#,3q4/1Qk4N/3N4/8/p2R1B1p/P6P/3p4/2NK1B1r b - - 4 74
