Winner,Move Count,Moves,Final Position
White,51,Nf3 Nf6 Nc3 Nc6 e4 e5 Nb1 Bd6 Nc3 Nxe4 Nxe4 f6 Nxd6+ cxd6 d4 Nxd4 Qxd4 exd4 c3 Qe7+ Be3 Qxe3+ fxe3 O-O Bc4+ d5 Bxd5+ Rf7 exd4 d6 Bxf7+ Kh8 Be6 Bxe6 O-O Rf8 Rae1 d5 Rxe6 Kg8 h4 Re8 Rxe8+ Kf7 Re5 fxe5 Nxe5+ Kg8 Kh2 Kh8 Rf8#,5R1k/pp4pp/8/3pN3/3P3P/2P5/PP4PK/8 b - - 4 26
Black,42,Nf3 Nf6 Nc3 Nc6 e4 e5 Na4 d5 Nc3 Bd6 d4 Be6 Bd3 Nxe4 Bxe4 f6 Be3 dxe4 Nxe5 fxe5 f3 Nxd4 Qxd4 c6 Rc1 exd4 fxe4 dxc3 O-O cxb2 c3 Bxh2+ Kh1 Bd6 Rf8+ Rxf8 Bxa7 Qc8 Bd4 Qc7 Bxg7 bxc1=R#,r3kr2/1pq3Bp/2pbb3/8/4P3/2P5/P5P1/2r4K w q - 0 22
White,65,Nf3 Nf6 Nc3 Nc6 e4 g6 d4 e5 Bd3 d5 Be3 Bd6 Nxe5 Bxe5 f3 Be6 dxe5 Nxe4 fxe4 f6 Nxd5 Qxd5 c3 fxe5 exd5 Bxd5 O-O Bxg2 Rf8+ Rxf8 Bxg6+ Rf7 Bxf7+ Kf8 Kf2 Bd5 Bxd5 Re8 Bxc6 Kg8 Bd5+ Kg7 Qg4+ Kh8 Qg7+ Kxg7 Rg1+ Kh8 Rg8+ Rxg8 Bxb7 Kg7 Bd5 Rf8+ Kg1 c6 Bxc6 Rf1+ Kxf1 Kg8 Bd5+ Kh8 Bxa7 e4 Bd4#,7k/7p/8/3B4/3Bp3/2P5/PP5P/5K2 b - - 1 33
White,57,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 dxe5 fxe5 Nxd5 Qxd5 c3 Qxd3 Qxd3 O-O O-O-O Rae8 Rhf1 b5 Rxf8+ Rxf8 Bxa7 Bxa2 Bd4 Nxd4 cxd4 c6 dxe5 Be6 Kb1 Re8 Qxb5 cxb5 Kc2 Rc8+ Kb1 Rc1+ Rxc1 Bd5 exd5 b4 Rc5 b3 Rc4 Kh8 Rc8#,2R4k/6pp/8/3PP3/8/1p6/1P4PP/1K6 b - - 3 29
White,85,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 Rg1 Nxd4 Bxd4 c6 Bxe5 fxe5 a4 dxe4 Bxe4 Qxd1+ Rxd1 O-O Bxh7+ Kh8 Be4 Rf1+ Kxf1 Rf8+ Ke1 Rf1+ Kxf1 Bc4+ Bd3 Bxd3+ cxd3 Kg8 d4 exd4 Rxd4 Kh8 Rd8+ Kh7 Rh8+ Kxh8 g3 Kg8 Nd5 cxd5 Rg2 d4 Rf2 Kh8 Rf8+ Kh7 Rh8+ Kxh8 Kg1 Kg8 a5 Kh8 g4 Kg8 g5 Kh8 b3 Kg8 g6 Kh8 b4 Kg8 b5 Kh8 b6 d3 bxa7 Kg8 a8=R#,R5k1/1p4p1/6P1/P7/8/3p4/7P/6K1 b - - 0 43
Black,88,Nf3 Nf6 Nc3 g5 e4 Nc6 d4 e5 Bd3 d5 Be3 Bd6 dxe5 Be6 exf6 Bc8 Nxd5 Be6 c3 Bxd5 Qc1 Bxe4 Bxe4 Qxf6 Bxc6+ Kf8 Bxb7 Qxf3 Bxf3 f6 O-O Ba3 Bc5+ Bxc5 Qxg5 c6 Qxc5+ Kg8 Bd5+ cxd5 Qxd5+ Kf8 f3 Re8 Qd6+ Kg8 Qf4 Rf8 Qc4+ Rf7 Qxf7+ Kxf7 Rae1 Kg8 Re8+ Kg7 Re7+ Kg8 Re8+ Kg7 Re7+ Kg8 Re8+ Kg7 Re7+ Kg8 Rb1 Kf8 Re8+ Kxe8 Re1+ Kf8 Re8+ Kxe8 Kh1 Rf8 Kg1 Rf7 Kh1 Kf8 Kg1 Kg8 Kh1 Rf8 Kg1 Re8 Kh1 Re1#,6k1/p6p/5p2/8/8/2P2P2/PP4PP/4r2K w - - 14 45
Black,46,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Nb4 Be3 Nxd3+ Kd2 Nxe4+ Nxe4 dxe4 cxd3 exf3 dxe5 Qxd3+ Kxd3 fxg2 f3 Bf5+ Ke2 g1=B Qd8+ Rxd8 Rf1 Bxe3 Kxe3 c6 Kf2 Bc5+ Ke1 f6 exf6 Rd1+ Kxd1 O-O fxg7 Rd8+ Kc1 a6 Rhg1 Be3#,3r2k1/1p4Pp/p1p5/5b2/8/4bP2/PP5P/2K2RR1 w - - 2 24
Black,44,Nf3 Nf6 a4 Nc6 Nc3 e5 e4 d5 d4 Bd6 Bd3 Be6 Ra3 Nxe4 Bxe4 f6 Be3 dxe4 Nxe5 fxe5 f3 Nxd4 Qxd4 c6 fxe4 exd4 Bxd4 Bb8 O-O Qxd4+ Rf2 Bxh2+ Kh1 Qxc3 Rxc3 Bd6 Rf8+ Rxf8 Rxc6 Bc7 Rxe6+ Kd8 c3 Rf1#,r2k4/ppb3pp/4R3/8/P3P3/2P5/1P4P1/5r1K w - - 1 23
White,57,d3 Nf6 Nf3 Nc6 Nc3 e5 e4 d5 Be3 Bd6 Nxe5 Bxe5 f3 Bxc3+ bxc3 Be6 exd5 Qxd5 Be2 Qxa2 Rxa2 O-O Rxa7 Nb8 Rxb7 Nc6 O-O Rae8 d4 Nxd4 h3 Bxh3 cxd4 Bxg2 c3 Bxf3 Bxf3 c6 Bxc6 Rxe3 Rxf6 Re1+ Qxe1 gxf6 Rb2 Re8 Qxe8+ Kg7 Rg2+ Kh6 Qe3+ Kh5 Bf3+ Kh4 Qe4+ Kh3 Qxh7#,8/5p1Q/5p2/8/3P4/2P2B1k/6R1/6K1 b - - 0 29
Black,60,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 exd4 Qxd4 d5 Bb5 Bd6 Bxc6+ Bd7 Qxf6 Bxc6 Qxd8+ Rxd8 Be3 f6 Nxd5 Bxd5 c3 c6 exd5 cxd5 O-O Bxh2+ Kh1 d4 cxd4 Bd6 Rae1 O-O Kg1 Rfe8 Ne5 fxe5 f3 exd4 Bd2 Rd7 Rxe8+ Kf7 Rf8+ Kxf8 Be3 dxe3 Rf2 h5 Re2 Kg8 Rxe3 Rd8 Re8+ Rxe8 Kh1 Re3 b3 Re1#,6k1/pp4p1/3b4/7p/8/1P3P2/P5P1/4r2K w - - 1 31
